[2024-10-04T23:17:14.661+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-04T23:17:14.679+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: SitesWebScraping.Web_Extraction_kabum manual__2024-10-04T23:17:11.928964+00:00 [queued]>
[2024-10-04T23:17:14.689+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: SitesWebScraping.Web_Extraction_kabum manual__2024-10-04T23:17:11.928964+00:00 [queued]>
[2024-10-04T23:17:14.692+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-04T23:17:14.714+0000] {taskinstance.py:2888} INFO - Executing <Task(OperatorSiteB): Web_Extraction_kabum> on 2024-10-04 23:17:11.928964+00:00
[2024-10-04T23:17:14.720+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4588) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-10-04T23:17:14.721+0000] {standard_task_runner.py:72} INFO - Started process 4589 to run task
[2024-10-04T23:17:14.722+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'SitesWebScraping', 'Web_Extraction_kabum', 'manual__2024-10-04T23:17:11.928964+00:00', '--job-id', '1100', '--raw', '--subdir', 'DAGS_FOLDER/DagWebScraping.py', '--cfg-path', '/tmp/tmpig35rsdy']
[2024-10-04T23:17:14.725+0000] {standard_task_runner.py:105} INFO - Job 1100: Subtask Web_Extraction_kabum
[2024-10-04T23:17:14.851+0000] {task_command.py:467} INFO - Running <TaskInstance: SitesWebScraping.Web_Extraction_kabum manual__2024-10-04T23:17:11.928964+00:00 [running]> on host f8603ea05473
[2024-10-04T23:17:14.928+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='SitesWebScraping' AIRFLOW_CTX_TASK_ID='Web_Extraction_kabum' AIRFLOW_CTX_EXECUTION_DATE='2024-10-04T23:17:11.928964+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-04T23:17:11.928964+00:00'
[2024-10-04T23:17:14.929+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-10-04T23:17:28.391+0000] {logging_mixin.py:190} INFO - R$ 579,99
[2024-10-04T23:17:28.392+0000] {logging_mixin.py:190} INFO - R$ 819,99
[2024-10-04T23:17:28.393+0000] {logging_mixin.py:190} INFO - R$ 789,99
[2024-10-04T23:17:28.393+0000] {logging_mixin.py:190} INFO - R$ 929,99
[2024-10-04T23:17:28.394+0000] {logging_mixin.py:190} INFO - R$ 899,99
[2024-10-04T23:17:28.395+0000] {logging_mixin.py:190} INFO - R$ 519,99
[2024-10-04T23:17:28.396+0000] {logging_mixin.py:190} INFO - R$ 684,99
[2024-10-04T23:17:28.396+0000] {logging_mixin.py:190} INFO - R$ 559,99
[2024-10-04T23:17:28.397+0000] {logging_mixin.py:190} INFO - R$ 584,99
[2024-10-04T23:17:28.398+0000] {logging_mixin.py:190} INFO - R$ 709,99
[2024-10-04T23:17:28.398+0000] {logging_mixin.py:190} INFO - R$ 549,99
[2024-10-04T23:17:28.399+0000] {logging_mixin.py:190} INFO - R$ 919,99
[2024-10-04T23:17:28.399+0000] {logging_mixin.py:190} INFO - R$ 504,99
[2024-10-04T23:17:28.400+0000] {logging_mixin.py:190} INFO - R$ 819,18
[2024-10-04T23:17:28.401+0000] {logging_mixin.py:190} INFO - R$ 564,99
[2024-10-04T23:17:28.401+0000] {logging_mixin.py:190} INFO - R$ 554,99
[2024-10-04T23:17:28.402+0000] {logging_mixin.py:190} INFO - R$ 1.014,99
[2024-10-04T23:17:28.403+0000] {logging_mixin.py:190} INFO - R$ 504,99
[2024-10-04T23:17:28.403+0000] {logging_mixin.py:190} INFO - R$ 744,99
[2024-10-04T23:17:28.404+0000] {logging_mixin.py:190} INFO - R$ 559,99
[2024-10-04T23:17:28.405+0000] {logging_mixin.py:190} INFO - R$ 739,99
[2024-10-04T23:17:28.406+0000] {logging_mixin.py:190} INFO - R$ 1.699,99
[2024-10-04T23:17:28.407+0000] {logging_mixin.py:190} INFO - R$ 1.189,99
[2024-10-04T23:17:28.407+0000] {logging_mixin.py:190} INFO - R$ 519,99
[2024-10-04T23:17:28.408+0000] {logging_mixin.py:190} INFO - R$ 1.339,99
[2024-10-04T23:17:28.409+0000] {logging_mixin.py:190} INFO - R$ 569,99
[2024-10-04T23:17:28.409+0000] {logging_mixin.py:190} INFO - R$ 669,99
[2024-10-04T23:17:28.410+0000] {logging_mixin.py:190} INFO - R$ 649,99
[2024-10-04T23:17:28.411+0000] {logging_mixin.py:190} INFO - R$ 1.319,99
[2024-10-04T23:17:28.411+0000] {logging_mixin.py:190} INFO - R$ 854,99
