[2024-10-04T23:49:27.536+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-10-04T23:49:27.575+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: SitesWebScraping.kabum_tasks.Web_Extraction_kabum manual__2024-10-04T23:49:24.684977+00:00 [queued]>
[2024-10-04T23:49:27.585+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: SitesWebScraping.kabum_tasks.Web_Extraction_kabum manual__2024-10-04T23:49:24.684977+00:00 [queued]>
[2024-10-04T23:49:27.586+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2024-10-04T23:49:27.613+0000] {taskinstance.py:2888} INFO - Executing <Task(OperatorSiteB): kabum_tasks.Web_Extraction_kabum> on 2024-10-04 23:49:24.684977+00:00
[2024-10-04T23:49:27.625+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'SitesWebScraping', 'kabum_tasks.Web_Extraction_kabum', 'manual__2024-10-04T23:49:24.684977+00:00', '--job-id', '1112', '--raw', '--subdir', 'DAGS_FOLDER/DagWebScraping.py', '--cfg-path', '/tmp/tmpfmw41d4v']
[2024-10-04T23:49:27.625+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=5281) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-10-04T23:49:27.631+0000] {standard_task_runner.py:105} INFO - Job 1112: Subtask kabum_tasks.Web_Extraction_kabum
[2024-10-04T23:49:27.632+0000] {standard_task_runner.py:72} INFO - Started process 5282 to run task
[2024-10-04T23:49:27.683+0000] {task_command.py:467} INFO - Running <TaskInstance: SitesWebScraping.kabum_tasks.Web_Extraction_kabum manual__2024-10-04T23:49:24.684977+00:00 [running]> on host f8603ea05473
[2024-10-04T23:49:27.758+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='SitesWebScraping' AIRFLOW_CTX_TASK_ID='kabum_tasks.Web_Extraction_kabum' AIRFLOW_CTX_EXECUTION_DATE='2024-10-04T23:49:24.684977+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-10-04T23:49:24.684977+00:00'
[2024-10-04T23:49:27.759+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-10-04T23:49:39.029+0000] {logging_mixin.py:190} INFO - R$ 579,99
[2024-10-04T23:49:39.030+0000] {logging_mixin.py:190} INFO - R$ 819,99
[2024-10-04T23:49:39.031+0000] {logging_mixin.py:190} INFO - R$ 789,99
[2024-10-04T23:49:39.032+0000] {logging_mixin.py:190} INFO - R$ 929,99
[2024-10-04T23:49:39.033+0000] {logging_mixin.py:190} INFO - R$ 899,99
[2024-10-04T23:49:39.034+0000] {logging_mixin.py:190} INFO - R$ 519,99
[2024-10-04T23:49:39.035+0000] {logging_mixin.py:190} INFO - R$ 684,99
[2024-10-04T23:49:39.036+0000] {logging_mixin.py:190} INFO - R$ 559,99
[2024-10-04T23:49:39.036+0000] {logging_mixin.py:190} INFO - R$ 584,99
[2024-10-04T23:49:39.037+0000] {logging_mixin.py:190} INFO - R$ 709,99
[2024-10-04T23:49:39.038+0000] {logging_mixin.py:190} INFO - R$ 549,99
[2024-10-04T23:49:39.039+0000] {logging_mixin.py:190} INFO - R$ 919,99
[2024-10-04T23:49:39.039+0000] {logging_mixin.py:190} INFO - R$ 504,99
[2024-10-04T23:49:39.040+0000] {logging_mixin.py:190} INFO - R$ 819,18
[2024-10-04T23:49:39.041+0000] {logging_mixin.py:190} INFO - R$ 564,99
[2024-10-04T23:49:39.041+0000] {logging_mixin.py:190} INFO - R$ 554,99
[2024-10-04T23:49:39.042+0000] {logging_mixin.py:190} INFO - R$ 1.014,99
[2024-10-04T23:49:39.043+0000] {logging_mixin.py:190} INFO - R$ 504,99
[2024-10-04T23:49:39.043+0000] {logging_mixin.py:190} INFO - R$ 744,99
[2024-10-04T23:49:39.044+0000] {logging_mixin.py:190} INFO - R$ 559,99
[2024-10-04T23:49:39.044+0000] {logging_mixin.py:190} INFO - R$ 739,99
[2024-10-04T23:49:39.045+0000] {logging_mixin.py:190} INFO - R$ 1.699,99
[2024-10-04T23:49:39.046+0000] {logging_mixin.py:190} INFO - R$ 1.189,99
[2024-10-04T23:49:39.046+0000] {logging_mixin.py:190} INFO - R$ 519,99
[2024-10-04T23:49:39.047+0000] {logging_mixin.py:190} INFO - R$ 1.339,99
[2024-10-04T23:49:39.048+0000] {logging_mixin.py:190} INFO - R$ 569,99
[2024-10-04T23:49:39.048+0000] {logging_mixin.py:190} INFO - R$ 669,99
[2024-10-04T23:49:39.049+0000] {logging_mixin.py:190} INFO - R$ 649,99
[2024-10-04T23:49:39.050+0000] {logging_mixin.py:190} INFO - R$ 1.319,99
